athlete_id,name,birth_year,birth_city,birth_state,height,weight,sport_clean,is_paralympic
107593,Gordon Wood,1975,Milwaukie,OR,170 cm,66 kg,Wrestling,False
107627,Brad Vering,1977,Schuyler,NE,175 cm,84 kg,Wrestling,False
108104,Stephen Abas,1978,Santa Ana,CA,165 cm,55 kg,Wrestling,False
108053,Eric Guerrero,1977,San Jose,CA,170 cm,60 kg,Wrestling,False
108101,Jamill Kelly,1977,Atwater,CA,170 cm,66 kg,Wrestling,False
108037,Joe Williams,1974,Chicago,IL,172 cm,74 kg,Wrestling,False
108121,Cael Sanderson,1979,Salt Lake City,UT,182 cm,84 kg,Wrestling,False
108071,Daniel Cormier,1979,Lafayette,LA,180 cm,96 kg,Wrestling,False
107538,Patricia Miranda,1979,Manteca,CA,152 cm,48 kg,Wrestling,False
107556,Tela O'Donnell,1982,Homer,AK,162 cm,55 kg,Wrestling,False
107563,Sara McMann,1980,Takoma Park,MD,167 cm,62 kg,Wrestling,False
107580,Toccara Montgomery,1982,Cleveland,OH,167 cm,72 kg,Wrestling,False
96115,Sigurd Overby,1899,True,WI,,,Cross Country Skiing,False
84605,John Carleton,1899,Hanover,NH,,,Cross Country Skiing,False
81707,Beatrix Loughran,1900,Mount Vernon,NY,,,Figure Skating,False
88802,Alphonse LaCroix,1897,Newton,MA,170 cm,62 kg,Ice Hockey,False
97637,Irv Small,1891,Cambridge,MA,178 cm,,Ice Hockey,False
83142,Clarence Abel,1900,Sault Sainte Marie,MI,185 cm,102 kg,Ice Hockey,False
95289,Justin McCarthy,1899,Charlestown,MA,,,Ice Hockey,False
96822,Willard Rice,1895,Newtonville,MA,,,Ice Hockey,False
91990,John Lyons,1900,Arlington,MA,,,Ice Hockey,False
89404,Art Langley,1896,Melrose,MA,178 cm,,Ice Hockey,False
83893,La Moine Batson,1898,Eau Claire,WI,168 cm,,Ski Jumping,False
87537,Charley Jewtraw,1900,Harkness,NY,176 cm,,Speed Skating,False
95561,Joe Moore,1901,New York,NY,170 cm,,Speed Skating,False
87824,Harry Kaskey,1902,Chicago,IL,,,Speed Skating,False
97816,Bill Steinmetz,1899,Chicago,IL,,,Speed Skating,False
84104,Valentine Bialas,1903,Boston,MA,,,Speed Skating,False
85262,Richard Donovan,1901,Saint Paul,MN,166 cm,75 kg,Speed Skating,False
85736,Billy Fiske,1911,Chicago,IL,,,Bobsleigh,False
98421,Nion Tucker,1885,Suisun City,CA,,,Bobsleigh,False
95211,Geoffrey Mason,1902,Philadelphia,PA,,,Bobsleigh,False
86222,Clifford Gray,1892,Chicago,IL,173 cm,,Bobsleigh,False
96214,Dick Parke,1893,Staten Island,NY,,,Bobsleigh,False
86530,Jennison Heaton,1904,New Haven,CT,,,Bobsleigh,False
86190,David Granger,1903,New York,NY,,,Bobsleigh,False
86652,Lyman Hine,1888,Brooklyn,NY,,,Bobsleigh,False
85240,Tom Doe,1912,Tacoma,WA,,,Bobsleigh,False
95948,J. J. O'Brien,1883,New York,NY,,,Bobsleigh,False
96600,Charles Proctor,1906,Columbia,MO,,,Cross Country Skiing,False
98434,Roger Turner,1901,Milton,MA,,,Figure Skating,False
83791,Sherwin Badger,1901,Boston,MA,,,Figure Skating,False
82943,Maribel Vinson,1911,Winchester,MA,,,Figure Skating,False
86531,Jack Heaton,1908,New Haven,CT,,,Skeleton,False
85627,John O'Neil Farrell,1906,Hammond,IN,,,Speed Skating,False
95648,Eddie Murphy,1905,La Crosse,WI,,,Speed Skating,False
87432,Irving Jaffee,1906,New York,NY,,,Speed Skating,False
97841,Hubert Stevens,1890,Lake Placid,NY,,,Bobsleigh,False
97837,Curtis Stevens,1898,Lake Placid,NY,,,Bobsleigh,False
95475,Bob Minton,1904,Lawrence,NY,,,Bobsleigh,False
86755,Henry Homburger,1902,Saranac Lake,NY,,,Bobsleigh,False
