hometown_id,city_name,state_code,latitude,longitude,state_latitude,state_longitude,total_athletes,ht_name,region,elevation,distance_to_west_coast_km,distance_to_east_coast_km,distance_to_nearest_coast_km,climate_zone
HT_TX_New_Braunfels,New Braunfels,TX,29.7028266,-98.1257348,31.9686,-99.9018,1,"New Braunfels, TX",South,196.0,2413.758586656951,2500.9115701552378,266.6925236563918,Tropical/Subtropical
HT_NY_New_Hartford,New Hartford,NY,43.073108,-75.2879252,42.1657,-74.9481,1,"New Hartford, NY",Northeast,162.0,3989.603873050619,282.9159433696439,282.9159433696439,Temperate
HT_PA_New_Kensington,New Kensington,PA,40.5697893,-79.7647705,40.5908,-77.2098,1,"New Kensington, PA",Northeast,238.0,3663.06855364924,487.3038384281471,487.3038384281471,Temperate
HT_OK_Newcastle,Newcastle,OK,35.2472869,-97.59976,35.5653,-96.9289,1,"Newcastle, OK",South,368.0,2234.273890760976,2152.288038078241,643.4889148962205,Subtropical
HT_NH_Newmarket,Newmarket,NH,43.0796182,-70.9357843,43.4525,-71.3384,1,"Newmarket, NH",Northeast,16.0,4339.463177969044,366.03894411772086,366.03894411772086,Temperate
HT_NE_Norfolk,Norfolk,NE,42.0283379,-97.4169964,41.4925,-99.9018,1,"Norfolk, NE",Midwest,465.0,2181.270104773254,1957.9279816330247,1373.598539831414,Temperate
HT_NC_Norlina,Norlina,NC,36.4456097,-78.1982132,35.6301,-79.8064,1,"Norlina, NC",South,130.0,3896.2605984339557,598.0151253958088,598.0151253958088,Subtropical
HT_OK_Norman,Norman,OK,35.2225717,-97.4394816,35.5653,-96.9289,1,"Norman, OK",South,361.0,2249.0840294381496,2139.99905895394,636.1482287741635,Subtropical
HT_FL_North_Fort_Meyers,North Fort Meyers,FL,26.775362,-81.847277,27.9947,-81.7603,1,"North Fort Meyers, FL",South,7.0,3977.2678406175173,1706.3056281986296,1366.4711106971927,Tropical/Subtropical
HT_RI_North_Kingstown,North Kingstown,RI,41.5514283,-71.4693875,41.5801,-71.4774,1,"North Kingstown, RI",Northeast,4.0,4328.727263972036,232.45153071533355,232.45153071533355,Temperate
HT_IL_Northlake,Northlake,IL,41.9172526,-87.8956185,40.3495,-88.9861,1,"Northlake, IL",Midwest,199.0,2969.8372554810567,1169.3836274874443,1169.3836274874443,Temperate
HT_NY_Northport,Northport,NY,40.9009595,-73.343167,42.1657,-74.9481,1,"Northport, NY",Northeast,22.0,4189.665850509384,59.70554153423193,59.70554153423193,Temperate
